index,quote_text
57,When I examine myself and my methods of thought I come to the conclusion that the gift of fantasy has meant more to me than my talent for absorbing positive knowledge.
94,When I examine myself and my methods of thought I come to the conclusion that the gift of fantasy has meant more to me than my talent for absorbing positive knowledge.
110,Even on the most solemn occasions I got away without wearing socks and hid that lack of civilisation in high boots.
112,In the past it never occurred to me that every casual remark of mine would be snatched up and recorded. Otherwise I would have crept further into my shell.
138,The bigotry of the nonbeliever is for me nearly as funny as the bigotry of the believer.
140,To take those fools in clerical garb seriously is to show them too much honor.
239,"Mystery is delightful, but unscientific, since it depends upon ignorance."
440,"I am but too conscious of the fact that we are born in an age when only the dull are treated seriously, and I live in terror of not being misunderstood."
459,Sometimes the poor are praised for being thrifty. But to recommend thrift to the poor is both grotesque and insulting. It is like advising a man who is starving to eat less.
496,Lord Illingworth: Women have become too brilliant. Nothing spoils a romance so much as a sense of humour in the woman.Mrs. Allonby: Or the want of it in the man.
498,Gerald: I suppose society is wonderfully delightful? Lord Illingworth: To be in it is merely a bore. But to be out of it simply a tragedy.
588,We are specially designed to appeal to the sense of humour.
722,...inversion...is an outlet that a child discovers when he is suffocating.
746,"...and if you are common, you can dress up as a woman, show you behind or write poems: there's nothing offensive about a naked behind if it's everybody's; each person will be mirrored in it."
789,"Circus, n. A place where horses, ponies and elephants are permitted to see men, women and children acting the fool."
829,"Laughter, n. An interior convulsion, producing a distortion of the features and accompanied by inarticulate noises. It is infectious and, though intermittent, incurable."
880,"To be comic is merely to be playful, but wit is a serious matter. To laugh at it is to confess that you do not understand."
945,"Mr. Gladstone read Homer for fun, which I thought served him right."
1004,"'In war-time,' I said, 'truth is so precious she should always be attended by a bodyguard of lies.'"
1147,A heavy purse makes a light heart.
1175,"The sound is honey, but the sense is gall."
1207,"My method is to take the utmost trouble to find the right thing to say, and then to say it with the utmost levity."
1215,"The salvation of the world depends on the men who will not take evil good-humouredly, and whose laughter destroys the fool instead of encouraging him."
1332,"Ah-ah-ah-ah-ow-ow-oo-oo!!! I ain't dirty: I washed me face and hands afore I come, I did!"
1381,Vulgarity is a necessary part of a complete author's equipment; and the clown is sometimes the best part of the circus.
1385,Driving a Porsche in London is like bringing a Ming vase to a football game.
1465,"Some guy hit my car fender the other day, and I said unto him, ""Be fruitful and multiply."" But not in those words."
1503,Taste my tuna casserole — tell me if I put in too much hot fudge.
1516,"Harry: (On being called a self-hating Jew) Hey, I may hate myself, but not because I'm Jewish."
1535,"Bidnick gorges himself on Viagra, but the dosage makes him hallucinate and causes him to imagine he is Pliny the Elder."
1572,Homer has taught all other poets the art of telling lies skillfully.
1584,A sense of humor is a measurement of the extent to which we realize that we are trapped in a world almost totally devoid of reason. Laughter is how we express the anxiety we feel at this knowledge.
1604,":""You'd have to be nuts to vote for me!"" he declared. ""Hell, I didn't even vote for me!"""
1719,Amusement to an observing mind is study.
1745,A majority is always the best repartee.
1902,"Earth laughs in flowers to see her boastful boys Earth-proud, proud of the earth which is not theirs; Who steer the plough, but can not steer their feet Clear of the grave."
2042,"By necessity, by proclivity, and by delight, we all quote."
2106,The lion does not care about a monkey laughing at him from a tree.
2172,"Contemplating the cost of modern war, Ike exclaimed one day: ""You might as well go out and shoot everyone you see then shoot yourself."""
2237,The funniest things are the forbidden.
2254,"Humor is the great thing, the saving thing. The minute it crops up, all our hardnesses yield, all our irritations and resentments flit away and a sunny spirit takes their place."
2275,"Humor must not professedly teach, and it must not professedly preach, but it must do both if it would live forever. By forever, I mean thirty years."
2287,Guides cannot master the subtleties of the American joke.
2298,"In German, a young lady has no sex, while a turnip has."
2309,The humorous story is told gravely; the teller does his best to conceal the fact that he even dimly suspects that there is anything funny about it.
2318,He says every man is a moon and has a side which he turns toward nobody: you have to slip around behind if you want to see it.
2324,Only laughter can blow to rags and atoms at a blast. Against the assault of laughter nothing can stand.
2627,"Humor can be dissected, as a frog can, but the thing dies in the process and the innards are discouraging to any but the pure scientific mind."
2642,A despot doesn't fear eloquent writers preaching freedom — he fears a drunken poet who may crack a joke that will take hold.
2751,"Our sadness is not sad, but our cheap joys."
2805,I certainly know that comedian can only last till he either takes himself serious or his audience takes him serious and I don't want either of those to happen to me til I am dead (if then).
2822,"An onion can make people cry, but there has never been a vegetable invented to make them laugh."
2825,There's no trick to being a humorist when you have the whole government working for you. QOTD 2007·11·04 Sound file
2837,Everything is funny as long as it is happening to Somebody Else.
2849,"We can make this thing into a Party, instead of a Memory."
2852,"You've got to be optimist to be a Democrat, and you've got to be a humorist to stay one."
2864,"He went to the finest of private schools, and I am a public school graduate. Given the poor state of public schools it is obvious why everybody makes all those jokes about me."
2908,A funny thing happened to me on the way to the White House...
2954,"I have sometimes said that flattery is all right, Mr. President, if you don't inhale it."
2996,"Accepting the absurdity of everything around us is one step, a necessary experience: it should not become a dead end. It arouses a revolt that can become fruitful."
3022,At any street corner the feeling of absurdity can strike any man in the face.
3029,"The absurd does not liberate; it binds. It does not authorize all actions. ""Everything is permitted"" does not mean that nothing is forbidden."
3279,Neither conservatives nor humorists believe man is good. But left-wingers do.
3427,"You know, at parties, people always ask, ""Where were you when Kennedy was shot?"" Well, I don't have an alibi!"
3435,My girlfriend always giggles during sex. No matter what she's reading.
3439,"A Mormon told me that they don't drink coffee. I said, ""A cup of coffee every day gives you wonderful benefits."" He said, ""Like what?"" I said, ""Well, it keeps you from being Mormon ..."""
3442,I like walking in the park... plucking out nose hairs. Those sleeping winos hate that.
3443,"People ask me how much I weigh. I tell them, 145 pounds, naked. That is, if that scale outside the drugstore is anything to go by."
3450,Thought the moon was made of green cheese.
3457,Send them home as merry as crickets.
3470,Do not believe what I tell you here any more than if it were some tale of a tub.
3526,"No money, no grovel! (Actually an ad-lib introduced by Rutland Barrington when playing the rôle of Pooh-Bah, to the annoyance of Gilbert.)"
3531,"...but it's an unjust world, and virtue is triumphant only in theatrical performances."
3538,"I've jibe and joke,And quip and crank,For lowly folkAnd men of rank."
3579,"If man had more of a sense of humor, things might have turned out differently."
3609,"And, of course, the funniest food: ""kumquats"". I don't even bring them home anymore. I sit there laughing and they go to waste."
3617,"So let me ask you something: how's everybody doing tonight, huh? (audience cheers) Good, well, fuck you! Just trying to make you feel at home."
3692,Creator — A comedian whose audience is afraid to laugh.
3706,I have often argued that a poet more than thirty years old is simply an overgrown child. I begin to suspect that there may be some truth in it.
3777,"Therwith ye ben so mery and so jocounde, That at a revel whan that I see you daunce, It is an oynement unto my wounde, Thogh ye to me ne do no daliaunce."
3793,"Of all the Griefs that harrass the Distrest,Sure the most bitter is a scornful Jest"
3810,"I am inclined to believe that few attacks either of ridicule or invective make much noise, but by the help of those they provoke."
3816,"Fly fishing may be a very pleasant amusement; but angling or float fishing I can only compare to a stick and a string, with a worm at one end and a fool at the other."
3828,"Boswell is pleasant and gay, For frolic by nature designed; He heedlessly rattles away When company is to his mind."
3903,There seems to be no lengths to which humorless people will not go to analyze humor. It seems to worry them.
3962,Several people have told me that my inability to suffer fools gladly is one of my main weaknesses.
3981,"Thank goodness we don't have only serious problems, but ridiculous ones as well."
3998,"It is not necessary for the public to know whether I am joking or whether I am serious, just as it is not necessary for me to know it myself."
4003,"- the 29th/Because of a very long fart, really a very long, and let us be frank, melodious fart, that I produced when I woke up, I was reminded of Michel de Montaigne. (DG p. 60)"
4030,Some subjects are so serious that one can only joke about them.
4064,You have to be! (Laughs) You might get shot!
4102,"After a time, she believed in the reality of this comedy."
4138,"""You know, they'll have their revenge."" ""Who will?"" ""The women, of course."""
4144,"If the world is to die of misery, at any rate let it die cheerfully, and in sympathy with itself!"
4152,"Oh, those bourgeois scum! One day they'd stuff 'em with champagne and truffles till their guts burst!"
4361,"He saw the humorous aspect of everything, which is the real test of the tragic sense."
4434,"""You mustn't alway believe what I say"", he once told me. ""Questions tempt you to tell lies, particularly when there is no answer."""
4512,"At Dirty Dick's and Sloppy Joe's&nbsp;&nbsp; We drank our liquor straight,Some went upstairs with Margery,&nbsp;&nbsp; And some, alas, with Kate."
4557,"Among those whom I like or admire, I can find no common denominator, but among those whom I love, I can: all of them make me laugh."
4558,"No human being is innocent, but there is a class of innocent human actions called Games."
4589,"You have to see the sex act comically, as a child."
4775,"Some folks look at me and see swagger, which in Texas is called 'walking'."
4785,"This notion that the United States is getting ready to attack Iran is simply ridiculous. (Short pause) And having said that, all options are on the table. (Laughter) (25 February 2005)"
4791,Thank you. God told me to wear it. That's a joke.
4806,"See, the irony is, what they need to do is get Syria to get Hezbollah to stop doing this shit and it's over."
4837,"People say, ""He's the most popular guy in Russia."" I say: ""Yeah, I'd be popular too if I owned NBC."""
4983,"As I approach my 90th birthday, my friends are asking how it feels like, to have completed 90 orbits around the Sun. Well, I actually don't feel a day older than 89!"
5025,The purpose of aphorisms is to keep fools who have memorised them from having nothing to say.
5032,Necessity makes a joke of civilization.
5042,"Once you've dissected a joke, you're about where you are when you've dissected a frog. It's dead."
5076,"""Why didn't people just use a computer?""""That was before they had computers,"" cried Paul.""Before?""""Sure. Do you think people always had computers? Didn't you ever hear of cavemen?"""
5082,It's funny the respectable names you can give to superstition.
5084,"""Fifty years,"" I hackneyed, ""is a long time."" ""Not when you're looking back at them,"" she said. ""You wonder how they vanished so quickly."""
5124,"""Such unsubtle escapism! Really, Dr. Fara, such folly smacks of genius. A lesser mind would be incapable of it."""
5125,"""Violence,"" came the retort, ""is the last refuge of the incompetent."""
5294,And what's the Internet without the rick-roll?
5301,"I may make jokes about Microsoft at times, but at the same time, I think the Microsoft hatred is a disease."
5312,"I like offending people, because I think people who get offended should be offended."
5373,How the fuck you feed a tree?...What...you put a ham sandwich on the tree?
5375,I like warming my butt by the fire.
5415,"Imagination, not intelligence, made us human."
