index,quote_text
9,"I should unconditionally refuse every direct or indirect war service and try to induce my friends to adopt the same attitude, irrespective of the general opinion of the causes of war."
29,"Generations to come, it may well be, will scarce believe that such a man as this one ever in flesh and blood walked upon this Earth."
35,"Those who are led should not be driven, and they should be allowed to choose their leader."
74,I made one great mistake in my life—when I signed the letter to President Roosevelt recommending that atom bombs be made; but there was some justification—the danger that the Germans would make them.
84,"Hail to the man who went through life always helping others, knowing no fear, and to whom aggressiveness and resentment are alien. Such is the stuff of which the great moral leaders are made."
120,"It seems hard to sneak a look at God's cards. But that He plays dice and uses ""telepathic"" methods... is something that I cannot believe for a single moment."
158,No nation on this globe should be more internationally minded than America because it was built by all nations.
169,"I'm proud that I'm a politician. A politician is a man who understands government, and it takes a politician to run a government. A statesman is a politician who's been dead 10 or 15 years."
178,I think the greatest asset that the Kremlin has is Senator McCarthy.
179,There isn't any difference between the totalitarian Russian Government and the Hitler government and the Franco government in Spain. They are all alike. They are police state governments.
264,The people who are regarded as moral luminaries are those who forego ordinary pleasures themselves and find compensation in interfering with the pleasures of others.
266,"Next to enjoying ourselves, the next greatest pleasure consists in preventing others from enjoying themselves, or, more generally, in the acquisition of power."
276,"It is likely that America will be more important during the next century or two, but after that it may well be the turn of China."
294,I cannot escape from the conclusion that the great ages of progress have depended upon a small number of individuals of transcendent ability.
302,"Competition for power is of two sorts: between organizations, and between individuals for leadership within an organization."
319,"Either we must have war against Russia, before she has the atom bomb, or we will have to lie down and let them govern us. ... Anything is better than submission."
419,Good kings are the enemies of democracy.
436,Anybody can make history. Only a great man can write it.
461,"Wherever there is a man who exercises authority, there is a man who resists authority."
466,"All authority is quite degrading. It degrades those who exercise it, and degrades those over whom it is exercised."
471,"In America the President reigns for four years, and Journalism governs for ever and ever."
495,Lady Hunstanton: But do you believe all that is written in the newspapers? Lord Illingworth: I do. Nowadays it is only the unreadable that occurs.
512,"Even the disciple has his uses. He stands behind one's throne, and at the moment of one's triumph whispers in one's ear that, after all, one is immortal."
658,"Jupiter: I gave you the liberty to serve me.Orestes: That is possible, but it has turned against you and there is nothing either one of us can do about it."
702,"Catherine: Why commit Evil?Goetz: Because Good has already been done.Catherine: Who has done it?Goetz: God the Father. I, on the other hand, am improvising."
738,"He wanted to assume his entire condition, to carry the world on his shoulders and to become, in defiance of all, what all have made of him."
761,"An army's bravest men are its cowards. The death which they would not meet at the hands of the enemy they will meet at the hands of their officers, with never a flinching."
793,"Confidant, Confidante, n. One entrusted by A with the secrets of B, confided by him to C."
795,"Conservative, n. A statesman enamored of existing evils, as opposed to a Liberal, who wants to replace them with others."
815,"Gallows, n. A stage for the performance of miracle plays, in which the leading actor is translated to heaven."
865,"Twice, adv. Once too often."
914,"I propose that 100,000 degenerate Britons should be forcibly sterilized and others put in labour camps to halt the decline of the British race."
929,"Too often the strong, silent man is silent only because he does not know what to say, and is reputed strong only because he has remained silent."
944,Headmasters have powers at their disposal with which Prime Ministers have never yet been invested.
966,All the left wing intelligentsia are coming to look to me for protection and I will give it wholeheartedly in return for their aid in the rearmament of Britain.
976,I cannot forecast to you the action of Russia. It is a riddle wrapped in a mystery inside an enigma: but perhaps there is a key. That key is Russian national interest.
983,"Now that they have begun to molest the capital, I want you to hit them hard − and Berlin is the place to hit them."
990,Let me have the best solution worked out. Don't argue the matter. The difficulties will argue for themselves.
994,I have not become the King's First Minister in order to preside over the liquidation of the British Empire.
1031,"Nicholas Soames: ""Is it true, grandpapa, that you are the greatest man in the world?"" Churchill: ""Yes I am. Now bugger off."
1036,It was the nation and the race dwelling all round the globe that had the lion's heart. I had the luck to be called upon to give the roar.
1054,One day President Roosevelt told me that he was asking publicly for suggestions about what the war should be called. I said at once 'The Unnecessary War'.
1057,"Baldwin, Stanley ... confesses putting party before country, 169-70; ..."
1068,The contrast between the morals at the centre of power and those practiced by wide communities in many subject lands presented problems of ever growing unrest.
1070,I hold that man is in the right who is most closely in league with the future.
1092,A community is like a ship; everyone ought to be prepared to take the helm.
1121,You can't build a reputation on what you are going to do.
1126,I assure you I had rather be the first man here than the second man in Rome.
1204,"Quod God to the Helandman, Quhair wilt thow now?I will doun in the Lawland, Lord, and thair steill a kow."
1253,The duke inquires contemptuously whether his gamekeeper is the equal of the Astronomer Royal; but he insists that they shall both be hanged equally if they murder him.
1263,Beware of the man whose god is in the skies.
1292,He knows nothing; and he thinks he knows everything. That points clearly to a political career.
1309,"That proves it's not by Shaw, because all Shaw's characters are himself: mere puppets stuck up to spout Shaw."
1314,It is more dangerous to be a great prophet or poet than to promote twenty companies for swindling simple folk out of their savings.
1349,"Some of the things Mussolini has done, and some that he is threatening to do go further in the direction of Socialism than the English Labour Party could yet venture if they were in power."
1368,You in America should trust to that volcanic political instinct which I have divined in you.
1399,"Thor was the God of Thunder and, frankly, acted like it."
1402,"Dennis Hutch had stepped up into the top seat when its founder had died of a lethal overdose of brick wall, taken while under the influence of a Ferrari and a bottle of tequila."
1442,"The boy cried ""Wolf, wolf!"" and the villagers came out to help him."
1462,What a world. It could be so wonderful if it wasn't for certain people.
1514,"Harry: No, I don't think you're paranoid. I think you're the opposite of paranoid. I think you walk around with the insane delusion that people like you."
1580,I think Superman should go on the Larry King show and announce that he would come back to life if people in all 50 states wanted him to.
1586,"If a woman has to choose between catching a fly ball and saving an infant's life, she will choose to save the infant's life without even considering if there are men on base."
1617,"He is a tall, trim, sinewy man with a full beard, a deep voice and a handshake that would crush a coconut. He could be a testosterone donor."
1640,"The superior man has neither anxiety nor fear. When internal examination discovers nothing wrong, what is there to be anxious about, what is there to fear?"
1647,"Guide the people by law, subdue them by punishment; they may shun crime, but will be void of shame. Guide them by example, subdue them by courtesy; they will learn shame, and come to be good."
1661,"By the ruler's cultivation of his own character, the duties of universal obligation are set forth. By honoring men of virtue and talents, he is preserved from errors of judgment."
1670,"Virtuous, worthy, wise and capable people are chosen as leaders."
1689,"I repeat that all power is a trust; that we are accountable for its exercise; that from the people, and for the people all springs, and all must exist."
1695,"To govern men, you must either excel them in their accomplishments, or despise them."
1709,"Then there was a maiden speech, so inaudible, that it was doubted whether, after all, the young orator really did lose his virginity."
1717,With words we govern men.
1734,London owes everything to its press: it owes as much to its press as it does to its being the seat of government and the law.
1741,"So you see, my dear Coningsby, that the world is governed by very different personages from what is imagined by those who are not behind the scenes."" (Sidonia speaking)"
1765,"Individuals may form communities, but it is institutions alone that can create a nation."
1772,"Gentlemen, the programme of the Conservative party is to maintain the Constitution of the country."
1780,"It is vital to your Majesty's authority and power at this critical moment, that the Canal should belong to England."
1782,It is only by the amplification of titles that you can often touch and satisfy the imagination of nations; and that is an element which Governments must not despise.
1788,"he government of the world is carried on by Sovereigns and statesmen, and not by anonymous paragraph writers, or by the harebrained chatter of irresponsible frivolity."
1805,"An insular country, subject to fogs, and with a powerful middle class, requires grave statesmen."
1811,Real politics are the possession and distribution of power.
1817,"I fancy I need more than another to speak (rather than write), with such a formidable tendency to the lapidary style. I build my house of boulders."
1827,"When a whole nation is roaring Patriotism at the top of its voice, I am fain to explore the cleanness of its hands and purity of its heart."
1842,A good indignation brings out all one's powers.
1858,You can take better care of your secret than another can.
1874,"Wherever Macdonald sits, there is the head of the table."
1924,"I find the Englishman to be him of all men who stands firmest in his shoes. They have in themselves what they value in their horses, — mettle and bottom."
1944,"The louder he talked of his honor, the faster we counted our spoons."
1949,Our chief want in life is somebody who shall make us do what we can.
1952,"Our chief want in life, is somebody who shall make us do what we can."
1976,Wilt thou seal up the avenues of ill? Pay every debt as if God wrote the bill.
1994,"Wilt thou seal up the avenues of ill? Pay every debt, as if God wrote the bill!"
2011,The most advanced nations are always those who navigate the most.
2113,To the German commander.
2123,I'm going to command the whole shebang.
2124,The chief of staff says I'm the guy.
2125,Humility must always be the portion of any man who receives acclaim earned in blood of his followers and sacrifices of his friends.
2127,"Steady, Monty. You can't speak to me like that. I'm your boss."
2141,There is one thing about being President — nobody can tell you when to sit down.
2144,"You have got to have something in which to believe. You have got to have leaders, organization, friendships, and contacts that help you to believe that, and help you to put out your best."
2146,"Now I think, speaking roughly, by leadership we mean the art of getting someone else to do something that you want done because he wants to do it."
